Locus_tag	Replicon	Start	End	Type	Strand
SM2011_c02567	Chromosome	56472	57628	gene	-
SM2011_c02568	Chromosome	57521	57844	gene	-
SM2011_c07003	Chromosome	57651	57707	gene	+
SM2011_c02569	Chromosome	57909	58685	gene	-
SM2011_c02570	Chromosome	58682	59425	gene	-
SM2011_c02572	Chromosome	59458	60108	gene	-
SM2011_c02573	Chromosome	60108	60581	gene	-
SM2011_c02574	Chromosome	60608	61337	gene	-
SM2011_c02575	Chromosome	61529	62094	gene	+
SM2011_c02576	Chromosome	62084	62605	gene	+
SM2011_c02577	Chromosome	62602	63992	gene	+
SM2011_c02578	Chromosome	64010	65066	gene	+
SM2011_c02579	Chromosome	65145	66618	gene	+
SM2011_c02580	Chromosome	66749	68755	gene	+
SM2011_c02581	Chromosome	68833	71179	gene	+
SM2011_c06017	Chromosome	70498	70571	gene	-
SM2011_c06018	Chromosome	71125	71203	gene	-
SM2011_c06019	Chromosome	71230	71278	gene	+
SM2011_c02582	Chromosome	71242	72130	gene	-
SM2011_c06020	Chromosome	71741	71921	gene	+
SM2011_c02583	Chromosome	72194	72718	gene	+
SM2011_c02584	Chromosome	72414	73479	gene	-
SM2011_c02585	Chromosome	73504	74859	gene	-
SM2011_c02586	Chromosome	74986	77451	gene	-
SM2011_c06021	Chromosome	76889	76947	gene	+
SM2011_c02587	Chromosome	77448	78131	gene	-
SM2011_c02588	Chromosome	78132	79820	gene	-
SM2011_c02589	Chromosome	79804	81043	gene	-
SM2011_c06022	Chromosome	81242	81405	gene	+
SM2011_c02676	Chromosome	81767	83250	gene	+
SM2011_c02621	Chromosome	83507	83583	gene	+
SM2011_c02622	Chromosome	83723	83798	gene	+
SM2011_c02668	Chromosome	84406	87280	gene	+
SM2011_c02669	Chromosome	87485	87604	gene	+
SM2011_c02623	Chromosome	87815	87891	gene	+
SM2011_c06028	Chromosome	87893	87953	gene	+
SM2011_c02590	Chromosome	88113	89500	gene	+
SM2011_c02591	Chromosome	89374	89913	gene	-
SM2011_c02592	Chromosome	89910	90503	gene	-
SM2011_c06029	Chromosome	89918	89971	gene	+
SM2011_c02593	Chromosome	90500	91136	gene	-
SM2011_c06030	Chromosome	91213	91269	gene	+
SM2011_c02594	Chromosome	91222	91890	gene	-
SM2011_c02595	Chromosome	91920	93146	gene	-
SM2011_c02596	Chromosome	93223	94138	gene	+
SM2011_c04463	Chromosome	94214	94757	gene	+
SM2011_c02600	Chromosome	94619	95798	gene	-
SM2011_c02602	Chromosome	95826	96399	gene	+
SM2011_c02604	Chromosome	96439	97359	gene	-
SM2011_c02605	Chromosome	97382	97915	gene	-
SM2011_c02606	Chromosome	97908	100871	gene	-
SM2011_c02607	Chromosome	100868	101146	gene	-
SM2011_c02608	Chromosome	101172	102422	gene	-
SM2011_c02609	Chromosome	102517	103491	gene	+
SM2011_c02610	Chromosome	103574	104504	gene	+
SM2011_c02611	Chromosome	104542	105228	gene	+
SM2011_c02612	Chromosome	105243	106571	gene	+
SM2011_c02613	Chromosome	106653	108018	gene	+
SM2011_c02614	Chromosome	108064	108327	gene	-
SM2011_c02615	Chromosome	108352	109062	gene	-
SM2011_c02616	Chromosome	109201	110598	gene	-
SM2011_c06031	Chromosome	110287	110355	gene	+
SM2011_c02617	Chromosome	110613	110774	gene	-
SM2011_c02618	Chromosome	110788	111171	gene	-
SM2011_c02619	Chromosome	111180	111497	gene	-
SM2011_c06032	Chromosome	111186	111286	gene	+
SM2011_c02620	Chromosome	111736	112678	gene	+
SM2011_c06034	Chromosome	112233	112349	gene	-
SM2011_c04154	Chromosome	112680	113627	gene	+
SM2011_c04153	Chromosome	113790	114958	gene	+
SM2011_c04152	Chromosome	114969	115574	gene	+
SM2011_c04151	Chromosome	115571	116536	gene	+
SM2011_c04150	Chromosome	116646	117686	gene	+
SM2011_c04149	Chromosome	117754	119139	gene	+
SM2011_c06035	Chromosome	118342	118396	gene	-
SM2011_c06036	Chromosome	118613	118696	gene	-
SM2011_c06037	Chromosome	119180	119252	gene	+
SM2011_c04148	Chromosome	119188	121588	gene	-
SM2011_c06038	Chromosome	120583	120675	gene	+
SM2011_c04147	Chromosome	121668	123576	gene	+
SM2011_c06039	Chromosome	122019	122076	gene	-
SM2011_c04146	Chromosome	123688	126141	gene	-
SM2011_c06040	Chromosome	124781	124840	gene	+
SM2011_c04145	Chromosome	126289	127074	gene	-
SM2011_c04144	Chromosome	127138	128862	gene	-
SM2011_c04143	Chromosome	128909	129662	gene	+
SM2011_c06041	Chromosome	129634	129797	gene	-
SM2011_c04142	Chromosome	129937	130821	gene	+
SM2011_c04141	Chromosome	130842	131483	gene	-
SM2011_c04140	Chromosome	131480	132562	gene	-
SM2011_c04139	Chromosome	132586	133659	gene	-
SM2011_c04138	Chromosome	133661	134677	gene	-
SM2011_c04137	Chromosome	134700	135587	gene	-
SM2011_c04136	Chromosome	135580	136536	gene	-
SM2011_c04135	Chromosome	136542	137888	gene	-
SM2011_c04134	Chromosome	137904	138742	gene	+
SM2011_c06042	Chromosome	137908	137962	gene	-
SM2011_c04133	Chromosome	138758	139968	gene	+
SM2011_c04132	Chromosome	139972	141135	gene	+
SM2011_c04131	Chromosome	141146	142561	gene	+
SM2011_c04130	Chromosome	142579	143403	gene	+
SM2011_c04129	Chromosome	143458	144759	gene	+
SM2011_c04128	Chromosome	144837	147088	gene	+
SM2011_c06043	Chromosome	147630	147720	gene	-
SM2011_c04127	Chromosome	147683	149342	gene	+
SM2011_c06044	Chromosome	147683	147722	gene	+
SM2011_c04126	Chromosome	149339	150472	gene	+
SM2011_c04125	Chromosome	150477	151448	gene	+
SM2011_c04124	Chromosome	151452	151910	gene	+
SM2011_c04123	Chromosome	151907	152704	gene	+
SM2011_c04122	Chromosome	152705	154027	gene	+
SM2011_c06045	Chromosome	153168	153277	gene	-
SM2011_c04121	Chromosome	153981	154790	gene	-
SM2011_c06046	Chromosome	154446	154499	gene	+
SM2011_c04120	Chromosome	154871	155845	gene	-
SM2011_c04119	Chromosome	155842	157146	gene	-
SM2011_c04118	Chromosome	157194	157867	gene	-
SM2011_c04117	Chromosome	157875	158517	gene	-
SM2011_c04116	Chromosome	158615	159878	gene	-
SM2011_c04115	Chromosome	160043	160481	gene	-
SM2011_c04114	Chromosome	160646	160947	gene	+
SM2011_c04113	Chromosome	160958	161501	gene	+
SM2011_c04112	Chromosome	161601	162438	gene	+
SM2011_c04111	Chromosome	162451	163986	gene	+
SM2011_c04110	Chromosome	164043	164723	gene	+
SM2011_c04109	Chromosome	164746	166095	gene	+
SM2011_c02820	Chromosome	166092	167564	gene	+
SM2011_c06047	Chromosome	166327	166399	gene	-
SM2011_c02821	Chromosome	167623	168633	gene	+
SM2011_c07004	Chromosome	167924	169838	gene	-
SM2011_c02822	Chromosome	168641	169661	gene	+
SM2011_c02823	Chromosome	169853	171016	gene	+
SM2011_c02824	Chromosome	171230	172140	gene	-
SM2011_c02825	Chromosome	172171	173605	gene	+
SM2011_c02826	Chromosome	173693	174037	gene	+
SM2011_c02827	Chromosome	174034	174940	gene	+
SM2011_c07005	Chromosome	174942	175075	gene	+
SM2011_c02828	Chromosome	175137	176096	gene	-
SM2011_c02829	Chromosome	176107	177747	gene	-
SM2011_c06048	Chromosome	176345	176487	gene	+
SM2011_c02830	Chromosome	177744	178877	gene	-
SM2011_c02831	Chromosome	178877	180099	gene	-
SM2011_c06049	Chromosome	180038	180086	gene	+
SM2011_c02832	Chromosome	180140	182036	gene	-
SM2011_c02833	Chromosome	182160	183358	gene	+
SM2011_c02834	Chromosome	183398	183859	gene	+
SM2011_c02835	Chromosome	183921	184995	gene	+
SM2011_c02836	Chromosome	184997	186854	gene	+
SM2011_c02837	Chromosome	186872	187690	gene	+
SM2011_c02838	Chromosome	187721	188427	gene	+
SM2011_c02839	Chromosome	188807	190009	gene	+
SM2011_c07006	Chromosome	191172	191401	gene	-
SM2011_c02841	Chromosome	191404	192326	gene	-
SM2011_c02842	Chromosome	192331	192888	gene	-
SM2011_c02843	Chromosome	192910	193701	gene	+
SM2011_c02844	Chromosome	193746	194371	gene	-
SM2011_c02845	Chromosome	194400	194882	gene	+
SM2011_c02846	Chromosome	194976	195997	gene	+
SM2011_c06053	Chromosome	195010	195064	gene	-
SM2011_c02847	Chromosome	196035	196403	gene	+
SM2011_c02848	Chromosome	196384	197266	gene	-
SM2011_c06054	Chromosome	196924	197004	gene	+
SM2011_c02849	Chromosome	197265	198437	gene	+
SM2011_c02850	Chromosome	198384	201485	gene	-
SM2011_c06055	Chromosome	201591	201641	gene	-
SM2011_c06056	Chromosome	201681	201831	gene	+
SM2011_c02851	Chromosome	201956	202400	gene	+
SM2011_c06057	Chromosome	202113	202184	gene	-
SM2011_c06058	Chromosome	202359	202492	gene	-
SM2011_c02852	Chromosome	202496	203893	gene	+
SM2011_c06059	Chromosome	203918	203962	gene	+
SM2011_c02853	Chromosome	204035	205204	gene	+
SM2011_c02854	Chromosome	205271	205762	gene	-
SM2011_c06060	Chromosome	205774	205818	gene	+
SM2011_c02855	Chromosome	205861	206977	gene	-
SM2011_c02856	Chromosome	207178	209551	gene	+
SM2011_c02857	Chromosome	209660	211744	gene	+
SM2011_c02858	Chromosome	211892	213243	gene	+
SM2011_c06061	Chromosome	212909	213007	gene	-
SM2011_c02859	Chromosome	213277	214161	gene	-
SM2011_c02860	Chromosome	214166	214859	gene	-
SM2011_c02861	Chromosome	214915	215919	gene	-
SM2011_c02862	Chromosome	215919	216592	gene	-
SM2011_c02863	Chromosome	216778	217922	gene	+
SM2011_c02864	Chromosome	217919	218725	gene	+
SM2011_c02865	Chromosome	218733	219203	gene	+
SM2011_c02866	Chromosome	219152	219846	gene	-
SM2011_c02867	Chromosome	219908	223054	gene	-
SM2011_c02868	Chromosome	223065	224398	gene	-
SM2011_c06062	Chromosome	223368	223447	gene	+
SM2011_c07007	Chromosome	224538	224686	gene	+
SM2011_c06063	Chromosome	224563	224645	gene	-
SM2011_c02869	Chromosome	224647	225775	gene	-
SM2011_c02870	Chromosome	225792	226856	gene	-
SM2011_c02871	Chromosome	226853	227692	gene	-
SM2011_c06064	Chromosome	227624	227679	gene	+
SM2011_c02872	Chromosome	227705	228703	gene	-
SM2011_c06065	Chromosome	228552	228626	gene	+
SM2011_c02873	Chromosome	228763	230220	gene	-
SM2011_c02874	Chromosome	230236	231148	gene	-
SM2011_c02875	Chromosome	231320	232216	gene	+
SM2011_c02876	Chromosome	232213	232977	gene	+
SM2011_c02877	Chromosome	232971	234093	gene	+
SM2011_c02878	Chromosome	234090	235250	gene	+
SM2011_c07008	Chromosome	235470	235513	gene	+
SM2011_c02879	Chromosome	235534	236271	gene	-
SM2011_c02880	Chromosome	236268	237179	gene	-
SM2011_c02881	Chromosome	237176	238700	gene	-
SM2011_c02882	Chromosome	238899	239657	gene	+
SM2011_c02883	Chromosome	239707	240005	gene	+
SM2011_c02884	Chromosome	239963	241112	gene	-
SM2011_c02885	Chromosome	241218	241952	gene	-
SM2011_c06066	Chromosome	241408	241456	gene	+
SM2011_c07009	Chromosome	241459	241526	gene	+
SM2011_c02886	Chromosome	242005	242346	gene	-
SM2011_c06067	Chromosome	242473	242550	gene	+
SM2011_c02915	Chromosome	242552	242641	gene	+
SM2011_c05001	Chromosome	242665	243065	gene	-
SM2011_c02887	Chromosome	242731	242895	gene	-
SM2011_c02888	Chromosome	243153	244210	gene	-
SM2011_c02889	Chromosome	244276	245558	gene	+
SM2011_c02890	Chromosome	245555	247555	gene	+
SM2011_c06069	Chromosome	246898	247014	gene	-
SM2011_c02891	Chromosome	247567	248727	gene	+
SM2011_c06070	Chromosome	247743	247813	gene	-
SM2011_c02892	Chromosome	248814	250292	gene	-
SM2011_c02893	Chromosome	250412	251349	gene	+
SM2011_c02894	Chromosome	251363	251651	gene	-
SM2011_c02895	Chromosome	251818	252780	gene	+
SM2011_c06071	Chromosome	251926	251975	gene	-
SM2011_c02896	Chromosome	252629	254164	gene	-
SM2011_c02897	Chromosome	254166	255105	gene	-
SM2011_c06073	Chromosome	254259	254364	gene	+
SM2011_c02898	Chromosome	255132	255957	gene	+
SM2011_c02899	Chromosome	255982	256930	gene	+
SM2011_c02900	Chromosome	256985	257229	gene	+
SM2011_c02901	Chromosome	257276	257644	gene	-
SM2011_c02902	Chromosome	257737	258429	gene	-
SM2011_c02903	Chromosome	258436	259416	gene	-
SM2011_c02904	Chromosome	259419	259861	gene	-
SM2011_c06075	Chromosome	259928	260030	gene	+
SM2011_c02905	Chromosome	260125	262005	gene	+
SM2011_c06076	Chromosome	261002	261035	gene	-
SM2011_c06077	Chromosome	261961	262043	gene	-
SM2011_c02906	Chromosome	262114	262437	gene	+
SM2011_c02907	Chromosome	262513	263124	gene	+
SM2011_c02908	Chromosome	263174	263780	gene	+
SM2011_c02909	Chromosome	263818	265135	gene	+
SM2011_c06078	Chromosome	264668	264768	gene	-
SM2011_c06079	Chromosome	265088	265148	gene	-
SM2011_c02910	Chromosome	265179	266936	gene	-
SM2011_c07010	Chromosome	266960	267024	gene	+
SM2011_c02911	Chromosome	267060	267759	gene	+
SM2011_c02912	Chromosome	267805	269433	gene	+
SM2011_c02913	Chromosome	269439	270131	gene	+
SM2011_c02914	Chromosome	270237	272962	gene	+
SM2011_c07011	Chromosome	271584	271700	gene	-
SM2011_c00320	Chromosome	272964	273473	gene	+
SM2011_c06081	Chromosome	273302	273369	gene	-
SM2011_c00321	Chromosome	273486	274518	gene	+
SM2011_c00322	Chromosome	274520	276448	gene	+
SM2011_c00323	Chromosome	276593	277143	gene	+
SM2011_c07012	Chromosome	277147	277220	gene	+
SM2011_c00324	Chromosome	277235	279495	gene	+
SM2011_c06082	Chromosome	278344	278410	gene	-
SM2011_c00325	Chromosome	279497	280752	gene	+
SM2011_c00326	Chromosome	280419	281602	gene	-
SM2011_c00327	Chromosome	281607	282827	gene	-
SM2011_c00328	Chromosome	282877	283584	gene	-
SM2011_c00329	Chromosome	283729	284320	gene	+
SM2011_c00330	Chromosome	284223	284858	gene	-
SM2011_c06083	Chromosome	284373	284418	gene	+
SM2011_c00331	Chromosome	284922	285971	gene	-
SM2011_c00435	Chromosome	285984	286059	gene	-
SM2011_c06084	Chromosome	286061	286117	gene	-
SM2011_c00332	Chromosome	286124	286778	gene	-
SM2011_c00333	Chromosome	286896	288346	gene	+
SM2011_c00334	Chromosome	288346	288984	gene	+
SM2011_c00335	Chromosome	288933	290909	gene	+
SM2011_c07013	Chromosome	290992	291099	gene	-
SM2011_c00336	Chromosome	291179	292851	gene	-
SM2011_c00337	Chromosome	292988	293366	gene	+
SM2011_c00338	Chromosome	293325	294145	gene	-
SM2011_c00434	Chromosome	294300	294389	gene	+
SM2011_c00339	Chromosome	294426	296519	gene	-
SM2011_c00340	Chromosome	296608	297654	gene	-
SM2011_c00341	Chromosome	297740	298253	gene	-
SM2011_c00342	Chromosome	298157	299033	gene	+
SM2011_c00343	Chromosome	299238	300448	gene	+
SM2011_c00344	Chromosome	301029	301320	gene	+
SM2011_c00345	Chromosome	301500	301810	gene	-
SM2011_c00346	Chromosome	301956	302436	gene	+
SM2011_c00347	Chromosome	302396	303153	gene	-
SM2011_c06086	Chromosome	302450	302530	gene	+
SM2011_c06087	Chromosome	302950	303001	gene	+
SM2011_c00348	Chromosome	303237	303587	gene	-
SM2011_c00349	Chromosome	303623	305450	gene	-
SM2011_c00350	Chromosome	305508	306847	gene	-
SM2011_c07014	Chromosome	306745	306804	gene	+
SM2011_c00351	Chromosome	306858	307542	gene	+
SM2011_c00352	Chromosome	307544	308108	gene	+
SM2011_c00353	Chromosome	307988	308843	gene	-
SM2011_c00354	Chromosome	308974	309725	gene	+
SM2011_c07015	Chromosome	309748	309893	gene	-
SM2011_c00355	Chromosome	309923	311041	gene	-
SM2011_c06088	Chromosome	310124	310167	gene	+
SM2011_c00356	Chromosome	311038	312223	gene	-
SM2011_c00357	Chromosome	312172	312882	gene	+
SM2011_c00358	Chromosome	313003	314429	gene	+
SM2011_c06089	Chromosome	314102	314278	gene	-
SM2011_c06090	Chromosome	314305	314330	gene	-
SM2011_c00359	Chromosome	314530	315533	gene	+
SM2011_c07016	Chromosome	315550	315644	gene	-
SM2011_c00360	Chromosome	315714	316492	gene	-
SM2011_c06091	Chromosome	316504	316612	gene	+
SM2011_c00361	Chromosome	316669	317519	gene	-
SM2011_c00362	Chromosome	317618	318341	gene	+
SM2011_c06092	Chromosome	317639	317710	gene	-
SM2011_c07017	Chromosome	318061	318285	gene	+
SM2011_c06094	Chromosome	318303	318435	gene	-
SM2011_c06093	Chromosome	318348	318388	gene	+
SM2011_c00363	Chromosome	318408	318708	gene	+
SM2011_c00364	Chromosome	318745	319223	gene	+
SM2011_c06095	Chromosome	318785	318868	gene	-
SM2011_c00365	Chromosome	319295	320377	gene	+
SM2011_c00366	Chromosome	320411	323024	gene	+
SM2011_c00367	Chromosome	323126	323600	gene	-
SM2011_c00368	Chromosome	323684	324442	gene	-
SM2011_c00369	Chromosome	324460	324768	gene	-
SM2011_c00370	Chromosome	324844	325766	gene	+
SM2011_c00371	Chromosome	325768	326298	gene	-
SM2011_c00372	Chromosome	326480	327250	gene	+
SM2011_c00373	Chromosome	327391	328065	gene	+
SM2011_c00374	Chromosome	328016	329107	gene	-
SM2011_c00375	Chromosome	329318	330312	gene	+
SM2011_c00376	Chromosome	330353	330766	gene	-
SM2011_c00377	Chromosome	330892	331683	gene	+
SM2011_c00378	Chromosome	331801	333382	gene	+
SM2011_c00379	Chromosome	333382	333983	gene	+
SM2011_c00380	Chromosome	333981	334503	gene	-
SM2011_c00381	Chromosome	334537	335461	gene	+
SM2011_c00382	Chromosome	335583	336984	gene	-
SM2011_c00383	Chromosome	337027	337738	gene	-
SM2011_c00384	Chromosome	337736	338284	gene	+
SM2011_c00385	Chromosome	338384	339011	gene	-
SM2011_c07018	Chromosome	338384	338508	gene	+
SM2011_c00386	Chromosome	339015	339390	gene	-
SM2011_c00387	Chromosome	339454	340769	gene	-
SM2011_c00388	Chromosome	340841	341925	gene	-
SM2011_c00389	Chromosome	342000	342587	gene	-
SM2011_c00390	Chromosome	342592	342921	gene	-
SM2011_c00391	Chromosome	343025	343219	gene	+
SM2011_c06096	Chromosome	343056	343125	gene	-
SM2011_c00392	Chromosome	343244	343505	gene	+
SM2011_c00393	Chromosome	343505	344038	gene	+
SM2011_c00394	Chromosome	343733	345550	gene	-
SM2011_c06097	Chromosome	344773	344820	gene	+
SM2011_c00395	Chromosome	345552	346267	gene	-
SM2011_c00396	Chromosome	346264	346762	gene	-
SM2011_c00397	Chromosome	346877	347428	gene	+
SM2011_c00460	Chromosome	347377	348714	gene	-
SM2011_c00399	Chromosome	348716	349863	gene	-
SM2011_c00400	Chromosome	349933	351060	gene	-
SM2011_c00401	Chromosome	351060	352610	gene	-
SM2011_c00402	Chromosome	352659	353994	gene	-
SM2011_c06098	Chromosome	353000	353106	gene	+
SM2011_c00403	Chromosome	353996	355402	gene	-
SM2011_c00404	Chromosome	355476	355938	gene	-
SM2011_c06099	Chromosome	355998	356062	gene	+
SM2011_c06100	Chromosome	356064	356130	gene	+
SM2011_c00405	Chromosome	356355	357254	gene	-
SM2011_c00406	Chromosome	357227	358390	gene	-
SM2011_c00407	Chromosome	358401	359162	gene	-
SM2011_c00408	Chromosome	359250	360114	gene	+
SM2011_c00409	Chromosome	360066	360413	gene	-
SM2011_c00410	Chromosome	360525	361591	gene	-
SM2011_c00411	Chromosome	361609	362000	gene	-
SM2011_c06102	Chromosome	361609	361674	gene	+
SM2011_c06103	Chromosome	361917	361958	gene	+
SM2011_c07019	Chromosome	361964	362019	gene	+
SM2011_c00412	Chromosome	362002	362781	gene	-
SM2011_c00413	Chromosome	362783	363364	gene	-
SM2011_c00414	Chromosome	363379	364006	gene	-
SM2011_c06104	Chromosome	364008	364048	gene	-
SM2011_c00415	Chromosome	364136	365394	gene	-
SM2011_c00416	Chromosome	365517	366510	gene	+
SM2011_c00418	Chromosome	366500	366868	gene	+
SM2011_c00419	Chromosome	366941	368020	gene	+
SM2011_c00420	Chromosome	368104	369738	gene	+
SM2011_c00421	Chromosome	370163	371366	gene	-
SM2011_c00422	Chromosome	371475	372108	gene	-
SM2011_c06105	Chromosome	372110	372154	gene	-
SM2011_c00423	Chromosome	372232	372887	gene	+
SM2011_c00424	Chromosome	372884	373798	gene	-
SM2011_c00425	Chromosome	373915	374370	gene	+
SM2011_c00461	Chromosome	374263	374851	gene	-
SM2011_c00427	Chromosome	374923	376650	gene	+
SM2011_c00428	Chromosome	376544	377440	gene	-
SM2011_c00429	Chromosome	377525	378369	gene	-
SM2011_c00430	Chromosome	378452	379435	gene	+
SM2011_c00431	Chromosome	379440	379844	gene	-
SM2011_c00432	Chromosome	379921	380723	gene	-
SM2011_c00433	Chromosome	380876	381802	gene	-
SM2011_c01166	Chromosome	381950	383803	gene	-
SM2011_c01165	Chromosome	383853	385864	gene	-
SM2011_c06106	Chromosome	384368	384440	gene	+
SM2011_c01164	Chromosome	385925	386811	gene	-
SM2011_c01163	Chromosome	386903	388219	gene	-
SM2011_c01162	Chromosome	388403	389286	gene	+
SM2011_c01161	Chromosome	389278	390515	gene	-
SM2011_c06107	Chromosome	389385	389430	gene	+
SM2011_c01160	Chromosome	390624	391084	gene	+
SM2011_c01159	Chromosome	391074	391979	gene	+
SM2011_c01158	Chromosome	392035	392717	gene	-
SM2011_c06108	Chromosome	392736	392825	gene	+
SM2011_c01157	Chromosome	392807	393586	gene	-
SM2011_c01156	Chromosome	393674	395248	gene	-
SM2011_c01155	Chromosome	395253	396118	gene	-
SM2011_c01154	Chromosome	396072	397116	gene	+
SM2011_c01153	Chromosome	397174	397996	gene	+
SM2011_c07020	Chromosome	397696	398152	gene	-
SM2011_c01152	Chromosome	398020	398464	gene	+
SM2011_c01167	Chromosome	398808	400904	gene	+
SM2011_c06109	Chromosome	400859	400929	gene	-
SM2011_c01151	Chromosome	400947	401352	gene	+
SM2011_c01150	Chromosome	401349	402620	gene	+
SM2011_c01149	Chromosome	402671	403177	gene	+
SM2011_c01148	Chromosome	403193	404059	gene	+
SM2011_c01147	Chromosome	404076	405241	gene	-
SM2011_c01146	Chromosome	405269	405913	gene	-
SM2011_c01145	Chromosome	405944	406431	gene	-
SM2011_c01144	Chromosome	406433	407435	gene	-
SM2011_c06110	Chromosome	406441	406490	gene	+
SM2011_c01143	Chromosome	407543	408716	gene	+
SM2011_c01142	Chromosome	408718	409721	gene	+
SM2011_c06111	Chromosome	409238	409326	gene	-
SM2011_c01141	Chromosome	409674	410267	gene	-
SM2011_c01140	Chromosome	410269	411014	gene	-
SM2011_c06112	Chromosome	410359	410410	gene	+
SM2011_c06113	Chromosome	410486	410530	gene	+
SM2011_c06114	Chromosome	411017	411128	gene	-
SM2011_c06115	Chromosome	411077	411174	gene	-
SM2011_c01139	Chromosome	411265	412875	gene	-
SM2011_c06116	Chromosome	411826	411878	gene	+
SM2011_c01138	Chromosome	412946	413797	gene	-
SM2011_c01137	Chromosome	413811	414371	gene	-
SM2011_c01136	Chromosome	414403	415344	gene	-
SM2011_c06117	Chromosome	414618	414703	gene	+
SM2011_c01135	Chromosome	415340	416371	gene	+
SM2011_c07021	Chromosome	416367	416410	gene	+
SM2011_c01134	Chromosome	416443	416884	gene	+
SM2011_c01133	Chromosome	416886	417427	gene	+
SM2011_c01132	Chromosome	417267	417819	gene	-
SM2011_c01131	Chromosome	417883	419124	gene	+
SM2011_c01130	Chromosome	419121	419987	gene	+
SM2011_c01129	Chromosome	419984	420541	gene	+
SM2011_c01128	Chromosome	420724	423090	gene	+
SM2011_c01127	Chromosome	423151	424292	gene	+
SM2011_c01126	Chromosome	424230	426700	gene	-
SM2011_c06120	Chromosome	425504	425553	gene	+
SM2011_c01125	Chromosome	426736	429506	gene	+
SM2011_c01124	Chromosome	429562	432457	gene	+
SM2011_c01123	Chromosome	432454	434061	gene	+
SM2011_c01122	Chromosome	434058	434447	gene	+
SM2011_c01121	Chromosome	434492	435649	gene	+
SM2011_c01120	Chromosome	435655	436252	gene	+
SM2011_c01119	Chromosome	436256	437003	gene	+
SM2011_c06121	Chromosome	436857	436935	gene	-
SM2011_c01118	Chromosome	437005	437765	gene	+
SM2011_c01117	Chromosome	437820	438330	gene	+
SM2011_c01116	Chromosome	438332	439321	gene	+
SM2011_c01115	Chromosome	439371	440789	gene	+
