Gene	Operon
SM2011_c02308	125
SM2011_c02309	125
SM2011_c02310	126
SM2011_c02312	126
SM2011_c02792	126
SM2011_c04431	127
SM2011_c04432	127
SM2011_c02314	128
SM2011_c02315	128
SM2011_c02318	129
SM2011_c02319	129
SM2011_c02320	129
SM2011_c02321	130
SM2011_c02322	130
SM2011_c02325	131
SM2011_c03000	131
SM2011_c03001	131
SM2011_c03002	131
SM2011_c03003	131
SM2011_c03004	132
SM2011_c03005	132
SM2011_c03006	132
SM2011_c03007	132
SM2011_c03008	132
SM2011_c03009	132
SM2011_c03010	132
SM2011_c03011	132
SM2011_c03012	132
SM2011_c03013	132
SM2011_c03015	133
SM2011_c03016	133
SM2011_c03017	134
SM2011_c03018	134
SM2011_c03019	135
SM2011_c03020	135
SM2011_c03021	135
SM2011_c03022	135
SM2011_c03023	136
SM2011_c03024	136
SM2011_c03025	136
SM2011_c03026	136
SM2011_c03027	137
SM2011_c03028	137
SM2011_c03029	137
SM2011_c03030	137
SM2011_c03031	137
SM2011_c03032	137
SM2011_c03033	137
SM2011_c03034	137
SM2011_c03035	137
SM2011_c03036	137
SM2011_c03041	138
SM2011_c03042	138
SM2011_c03043	138
SM2011_c03044	138
SM2011_c03045	138
SM2011_c03046	139
SM2011_c03047	139
SM2011_c03048	139
SM2011_c03049	139
SM2011_c03050	139
SM2011_c03051	139
SM2011_c03052	139
SM2011_c03053	139
SM2011_c03054	140
SM2011_c03055	140
SM2011_c03056	140
SM2011_c03071	140
SM2011_c03057	141
SM2011_c03072	141
SM2011_c03062	142
SM2011_c03063	142
SM2011_c03064	142
SM2011_c03065	142
SM2011_c03068	143
SM2011_c03069	143
SM2011_c03070	143
SM2011_c00761	144
SM2011_c00762	144
SM2011_c00771	145
SM2011_c00772	145
SM2011_c00773	145
SM2011_c00778	146
SM2011_c00779	146
SM2011_c00782	147
SM2011_c00783	147
SM2011_c00787	148
SM2011_c00788	148
SM2011_c00789	148
SM2011_c00790	148
SM2011_c00791	148
SM2011_c00804	149
SM2011_c00805	149
SM2011_c00807	150
SM2011_c00808	150
SM2011_c00810	151
SM2011_c00811	151
SM2011_c00812	151
SM2011_c00815	152
SM2011_c00816	152
SM2011_c00822	153
SM2011_c00823	153
SM2011_c00826	154
SM2011_c00827	154
SM2011_c00832	155
SM2011_c00833	155
SM2011_c00926	155
SM2011_c00917	156
SM2011_c00918	156
SM2011_c00919	156
SM2011_c00914	157
SM2011_c00915	157
SM2011_c00916	157
SM2011_c00912	158
SM2011_c00913	158
SM2011_c00909	159
SM2011_c00910	159
SM2011_c00906	160
SM2011_c00907	160
SM2011_c00902	161
SM2011_c00904	161
SM2011_c00930	161
SM2011_c00899	162
SM2011_c00900	162
SM2011_c00893	163
SM2011_c00894	163
SM2011_c00895	163
SM2011_c00896	163
SM2011_c02289	164
SM2011_c02291	164
SM2011_c00932	165
SM2011_c00933	165
SM2011_c00887	166
SM2011_c00888	166
SM2011_c00880	167
SM2011_c00881	167
SM2011_c00882	167
SM2011_c00883	167
SM2011_c00868	168
SM2011_c00869	168
SM2011_c00870	168
SM2011_c00871	168
SM2011_c00872	168
SM2011_c00861	169
SM2011_c00862	169
SM2011_c00863	169
SM2011_c00858	170
SM2011_c00859	170
SM2011_c00850	171
SM2011_c00851	171
SM2011_c00852	171
SM2011_c00991	172
SM2011_c00992	172
SM2011_c00984	173
SM2011_c00985	173
SM2011_c00981	174
SM2011_c00982	174
SM2011_c00976	175
SM2011_c00977	175
SM2011_c00972	176
SM2011_c00973	176
SM2011_c00974	176
SM2011_c00968	177
SM2011_c00969	177
SM2011_c00970	177
SM2011_c00962	178
SM2011_c00963	178
SM2011_c00964	178
SM2011_c00965	178
SM2011_c00966	178
SM2011_c00007	179
SM2011_c00008	179
SM2011_c00009	180
SM2011_c00010	180
SM2011_c00012	180
SM2011_c00013	180
SM2011_c00130	180
SM2011_c00450	180
SM2011_c00014	181
SM2011_c00016	181
SM2011_c00085	181
SM2011_c00017	182
SM2011_c00018	182
SM2011_c00072	183
SM2011_c00073	183
SM2011_c00074	184
SM2011_c00075	184
SM2011_c00077	185
SM2011_c00451	185
SM2011_c00081	186
SM2011_c00452	186
SM2011_c00024	187
SM2011_c05003	187
SM2011_c00090	188
SM2011_c00091	188
SM2011_c00092	188
SM2011_c00030	189
SM2011_c00031	189
SM2011_c00094	190
SM2011_c00127	190
SM2011_c00033	191
SM2011_c00034	191
SM2011_c00099	192
SM2011_c00100	192
SM2011_c00103	193
SM2011_c00225	193
SM2011_c00104	194
SM2011_c00105	194
SM2011_c00112	195
SM2011_c00114	195
SM2011_c00454	195
SM2011_c00048	196
SM2011_c00049	196
SM2011_c00051	197
SM2011_c00052	197
SM2011_c00053	197
SM2011_c00054	197
SM2011_c00055	197
SM2011_c00056	197
SM2011_c00057	197
SM2011_c00059	198
SM2011_c00060	198
SM2011_c00061	198
SM2011_c00128	199
SM2011_c00457	199
SM2011_c00065	200
SM2011_c00129	200
SM2011_c00458	200
SM2011_c02361	201
SM2011_c02362	201
SM2011_c02363	201
SM2011_c02366	202
SM2011_c02367	202
SM2011_c02368	202
SM2011_c02373	203
SM2011_c02374	203
SM2011_c02375	204
SM2011_c02376	204
SM2011_c02383	205
SM2011_c02384	205
SM2011_c02387	206
SM2011_c02388	206
SM2011_c02389	206
SM2011_c02394	207
SM2011_c02461	207
SM2011_c02404	208
SM2011_c02405	208
SM2011_c02657	209
SM2011_c02658	209
SM2011_c02659	209
SM2011_c02654	210
SM2011_c02655	210
SM2011_c02651	211
SM2011_c02652	211
SM2011_c02653	211
SM2011_c02646	212
SM2011_c02647	212
SM2011_c02648	212
SM2011_c02649	212
SM2011_c02650	212
SM2011_c02637	213
SM2011_c02638	213
SM2011_c02631	214
SM2011_c02632	214
SM2011_c02633	214
SM2011_c02598	215
SM2011_c02599	215
SM2011_c02601	215
SM2011_c02571	216
SM2011_c02660	216
SM2011_c02661	216
SM2011_c02558	217
SM2011_c02559	217
SM2011_c02561	217
SM2011_c02565	217
SM2011_c02556	218
SM2011_c02557	218
SM2011_c02554	219
SM2011_c02555	219
SM2011_c02546	220
SM2011_c02547	220
SM2011_c02548	220
SM2011_c02549	220
SM2011_c02550	220
SM2011_c02551	220
SM2011_c00551	221
SM2011_c00552	221
SM2011_c00553	222
SM2011_c00554	222
SM2011_c00555	223
SM2011_c00556	223
SM2011_c00557	223
SM2011_c00558	224
SM2011_c00559	224
SM2011_c00560	224
SM2011_c00562	225
SM2011_c00563	225
SM2011_c00564	225
SM2011_c00565	226
SM2011_c00566	226
SM2011_c00567	227
SM2011_c00568	227
SM2011_c00571	228
SM2011_c00572	228
SM2011_c00576	229
SM2011_c00577	229
SM2011_c00578	229
SM2011_c00579	230
SM2011_c00580	230
SM2011_c00581	230
SM2011_c00582	231
SM2011_c00583	231
SM2011_c00584	231
SM2011_c00585	232
SM2011_c00586	232
SM2011_c00596	233
SM2011_c00597	233
SM2011_c00599	234
SM2011_c00600	234
SM2011_c00601	234
SM2011_c00602	235
SM2011_c00603	235
SM2011_c00605	236
SM2011_c00606	236
SM2011_c00607	236
SM2011_c00608	236
SM2011_c00612	237
SM2011_c00613	237
SM2011_c00614	238
SM2011_c00615	238
SM2011_c00616	239
SM2011_c00617	239
SM2011_c00618	240
SM2011_c00619	240
SM2011_c00620	241
SM2011_c00621	241
SM2011_c01763	242
SM2011_c01764	242
SM2011_c01765	242
SM2011_c01766	242
SM2011_c01770	243
SM2011_c01771	243
SM2011_c01772	243
SM2011_c01773	243
SM2011_c01775	244
SM2011_c01776	244
SM2011_c01777	245
SM2011_c01778	245
SM2011_c01779	245
SM2011_c01782	246
SM2011_c01783	246
SM2011_c01784	247
SM2011_c01785	247
SM2011_c01790	248
SM2011_c01791	248
SM2011_c01792	248
SM2011_c01793	249
SM2011_c01794	249
SM2011_c01798	250
SM2011_c01799	250
SM2011_c01803	251
SM2011_c01804	251
SM2011_c01808	252
SM2011_c01809	252
SM2011_c01810	252
SM2011_c01811	253
SM2011_c04433	253
SM2011_c01909	254
SM2011_c01910	254
SM2011_c01912	255
SM2011_c01913	255
SM2011_c01914	255
SM2011_c01915	255
SM2011_c01916	255
SM2011_c01917	255
SM2011_c01918	255
SM2011_c01919	255
SM2011_c01920	256
SM2011_c01921	256
SM2011_c01922	256
SM2011_c01923	257
SM2011_c01924	257
SM2011_c01925	257
SM2011_c01926	257
SM2011_c01927	257
SM2011_c01928	257
SM2011_c01929	257
SM2011_c01930	257
SM2011_c01931	257
SM2011_c01932	258
SM2011_c01933	258
SM2011_c01376	259
SM2011_c01935	259
SM2011_c01370	260
SM2011_c01371	260
SM2011_c01364	261
SM2011_c01365	261
SM2011_c01366	261
SM2011_c01367	261
SM2011_c01368	261
SM2011_c01369	261
SM2011_c01360	262
SM2011_c01361	262
SM2011_c01362	262
SM2011_c01363	262
SM2011_c01356	263
SM2011_c01357	263
SM2011_c01352	264
SM2011_c01353	264
SM2011_c01349	265
SM2011_c01350	265
SM2011_c01343	266
SM2011_c01344	266
SM2011_c01345	266
SM2011_c01346	266
SM2011_c01341	267
SM2011_c01342	267
SM2011_c01340	268
SM2011_c02289	268
SM2011_c02291	268
SM2011_c01331	269
SM2011_c01332	269
SM2011_c01322	270
SM2011_c01323	270
SM2011_c01320	271
SM2011_c01321	271
SM2011_c01318	272
SM2011_c01319	272
SM2011_c01312	273
SM2011_c01313	273
SM2011_c01314	273
SM2011_c01300	274
SM2011_c01301	274
SM2011_c01302	274
SM2011_c01303	274
SM2011_c01304	274
SM2011_c01305	274
SM2011_c01306	274
SM2011_c01307	274
SM2011_c01308	274
SM2011_c01309	274
SM2011_c01293	275
SM2011_c01294	275
SM2011_c01295	275
SM2011_c01296	275
SM2011_c01297	275
SM2011_c01298	275
SM2011_c01299	275
SM2011_c01290	276
SM2011_c01291	276
SM2011_c01292	276
SM2011_c01288	277
SM2011_c01289	277
SM2011_c01283	278
SM2011_c01285	278
SM2011_c01281	279
SM2011_c01282	279
SM2011_c01279	280
SM2011_c01280	280
SM2011_c01269	281
SM2011_c01270	281
SM2011_c01271	281
SM2011_c01272	281
SM2011_c01273	281
SM2011_c01274	281
SM2011_c01275	281
SM2011_c01276	281
SM2011_c01277	281
SM2011_c01265	282
SM2011_c01266	282
SM2011_c01267	282
SM2011_c01101	283
SM2011_c01263	283
SM2011_c01260	284
SM2011_c01261	284
SM2011_c01258	285
SM2011_c01259	285
SM2011_c00995	286
SM2011_c01256	286
SM2011_c00996	287
SM2011_c01068	287
SM2011_c01006	288
SM2011_c01007	288
SM2011_c01008	288
SM2011_c01009	288
SM2011_c01012	289
SM2011_c01013	289
SM2011_c01019	290
SM2011_c01020	290
SM2011_c01021	291
SM2011_c01022	291
SM2011_c01026	292
SM2011_c01027	292
SM2011_c01030	293
SM2011_c01031	293
SM2011_c01032	293
SM2011_c01033	293
SM2011_c01034	293
SM2011_c01035	293
SM2011_c01036	293
SM2011_c01039	294
SM2011_c01040	294
SM2011_c01041	295
SM2011_c01042	295
SM2011_c01043	295
SM2011_c01044	296
SM2011_c01045	296
SM2011_c01046	296
SM2011_c01047	296
SM2011_c01048	297
SM2011_c01049	297
SM2011_c01051	298
SM2011_c01052	298
SM2011_c01053	299
SM2011_c01054	299
SM2011_c02123	299
SM2011_c02124	299
SM2011_c02119	300
SM2011_c02120	300
SM2011_c02121	300
SM2011_c02115	301
SM2011_c02116	301
SM2011_c02107	302
SM2011_c02108	302
SM2011_c02109	302
SM2011_c02110	302
SM2011_c02103	303
SM2011_c02104	303
SM2011_c02105	303
SM2011_c02106	303
SM2011_c02096	304
SM2011_c02097	304
SM2011_c02098	304
SM2011_c02099	304
SM2011_c02089	305
SM2011_c02090	305
SM2011_c02091	305
SM2011_c02092	305
SM2011_c02093	305
SM2011_c02094	305
SM2011_c02084	306
SM2011_c02085	306
SM2011_c02072	307
SM2011_c02073	307
SM2011_c02074	307
SM2011_c02069	308
SM2011_c02070	308
SM2011_c02071	308
SM2011_c02065	309
SM2011_c02066	309
SM2011_c02062	310
SM2011_c02063	310
SM2011_c02064	310
SM2011_c02055	311
SM2011_c02056	311
SM2011_c02057	311
SM2011_c02052	312
SM2011_c02053	312
SM2011_c02047	313
SM2011_c02048	313
SM2011_c02049	313
SM2011_c01235	314
SM2011_c01236	314
SM2011_c01227	315
SM2011_c01228	315
SM2011_c01220	316
SM2011_c01221	316
SM2011_c01222	316
SM2011_c01218	317
SM2011_c01219	317
SM2011_c01208	318
SM2011_c01209	318
SM2011_c01700	318
SM2011_c01206	319
SM2011_c01207	319
SM2011_c01192	320
SM2011_c01193	320
SM2011_c01194	320
SM2011_c01187	321
SM2011_c01188	321
SM2011_c01189	321
SM2011_c01190	321
SM2011_c01178	322
SM2011_c01179	322
SM2011_c01176	323
SM2011_c01177	323
SM2011_c01173	324
SM2011_c01174	324
SM2011_c01171	325
SM2011_c01172	325
SM2011_c00937	326
SM2011_c00938	326
SM2011_c00941	327
SM2011_c00942	327
SM2011_c00951	328
SM2011_c00952	328
SM2011_c00956	329
SM2011_c00958	329
SM2011_c00959	329
SM2011_c00227	330
SM2011_c04450	330
SM2011_c00229	331
SM2011_c00230	331
SM2011_c00231	331
SM2011_c00234	332
SM2011_c00235	332
SM2011_c00236	332
SM2011_c00237	332
SM2011_c00238	332
SM2011_c00242	333
SM2011_c00243	333
SM2011_c00244	333
SM2011_c00245	333
SM2011_c00246	334
SM2011_c00247	334
SM2011_c00250	335
SM2011_c00251	335
SM2011_c00255	336
SM2011_c04437	336
SM2011_c00259	337
SM2011_c00260	337
SM2011_c00261	337
SM2011_c00262	337
SM2011_c00263	337
SM2011_c00264	337
SM2011_c00265	338
SM2011_c00266	338
SM2011_c00267	339
SM2011_c00268	339
SM2011_c00269	340
SM2011_c00270	340
SM2011_c00271	341
SM2011_c00272	341
SM2011_c00273	341
SM2011_c00274	341
SM2011_c00276	342
SM2011_c00277	342
SM2011_c00283	343
SM2011_c00284	343
SM2011_c00288	344
SM2011_c00289	344
SM2011_c00293	345
SM2011_c00294	345
SM2011_c00296	346
SM2011_c00297	346
SM2011_c00298	346
SM2011_c00299	346
SM2011_c00301	347
SM2011_c00302	347
SM2011_c00530	347
SM2011_c00531	347
SM2011_c00532	347
SM2011_c00533	347
SM2011_c00528	348
SM2011_c05006	348
SM2011_c00523	349
SM2011_c00524	349
SM2011_c00540	349
SM2011_c00521	350
SM2011_c00522	350
SM2011_c00517	351
SM2011_c00518	351
SM2011_c00519	351
SM2011_c00520	351
SM2011_c00514	352
SM2011_c00515	352
SM2011_c00516	352
SM2011_c00512	353
SM2011_c00513	353
SM2011_c00508	354
SM2011_c00509	354
SM2011_c00510	354
SM2011_c00511	354
SM2011_c00502	355
SM2011_c00503	355
SM2011_c00497	356
SM2011_c00498	356
SM2011_c00499	356
SM2011_c00500	356
SM2011_c00501	356
SM2011_c00493	357
SM2011_c00494	357
SM2011_c00495	357
SM2011_c00534	358
SM2011_c00535	358
SM2011_c00481	359
SM2011_c00482	359
SM2011_c00483	359
SM2011_c00466	360
SM2011_c00467	360
SM2011_c00462	361
SM2011_c00463	361
SM2011_c00465	361
SM2011_c00187	362
SM2011_c00188	362
SM2011_c00189	362
SM2011_c00185	363
SM2011_c00186	363
SM2011_c00179	364
SM2011_c00180	364
SM2011_c00174	365
SM2011_c00175	365
SM2011_c00161	366
SM2011_c00162	366
SM2011_c00158	367
SM2011_c00159	367
SM2011_c00147	368
SM2011_c00148	368
SM2011_c00142	369
SM2011_c00143	369
SM2011_c00197	369
SM2011_c00141	370
SM2011_c00198	370
SM2011_c00138	371
SM2011_c00139	371
SM2011_c00132	372
SM2011_c00133	372
SM2011_c04210	373
SM2011_c04211	373
SM2011_c04216	374
SM2011_c04217	374
SM2011_c04218	375
SM2011_c04219	375
SM2011_c04221	376
SM2011_c04222	376
SM2011_c04228	377
SM2011_c04229	377
SM2011_c04240	378
SM2011_c04241	378
SM2011_c04242	379
SM2011_c04243	379
SM2011_c04244	379
SM2011_c04248	380
SM2011_c04249	380
SM2011_c04253	381
SM2011_c04254	381
SM2011_c04255	381
SM2011_c04256	381
SM2011_c04257	381
SM2011_c04258	381
SM2011_c04261	382
SM2011_c04262	382
SM2011_c04263	383
SM2011_c04264	383
SM2011_c04265	384
SM2011_c04266	384
SM2011_c04268	385
SM2011_c04270	385
SM2011_c04273	386
SM2011_c04275	386
SM2011_c04277	386
SM2011_c04279	387
SM2011_c04281	387
SM2011_c04282	387
SM2011_c04284	387
SM2011_c04290	388
SM2011_c04293	388
SM2011_c04294	389
SM2011_c04295	389
SM2011_c04297	389
SM2011_c04301	389
SM2011_c04302	390
SM2011_c04303	390
SM2011_c04304	390
SM2011_c04305	390
SM2011_c04315	391
SM2011_c04325	391
SM2011_c04326	392
SM2011_c04327	392
SM2011_c04328	393
SM2011_c04329	393
SM2011_c04337	394
SM2011_c04339	394
SM2011_c04340	394
SM2011_c04342	395
SM2011_c04345	395
SM2011_c04347	395
SM2011_c04451	395
SM2011_c04161	396
SM2011_c04162	396
SM2011_c04167	397
SM2011_c04168	397
SM2011_c04177	398
SM2011_c04178	398
SM2011_c04179	398
SM2011_c04180	399
SM2011_c04181	399
SM2011_c04186	400
SM2011_c04187	400
SM2011_c04199	401
SM2011_c04200	401
SM2011_c04203	402
SM2011_c04204	402
SM2011_c04206	403
SM2011_c04207	403
SM2011_c04208	403
SM2011_c04269	404
SM2011_c04441	404
SM2011_c04272	405
SM2011_c04274	405
SM2011_c04283	406
SM2011_c04287	406
SM2011_c04289	406
SM2011_c04300	407
SM2011_c04316	407
SM2011_c04317	407
SM2011_c04319	408
SM2011_c04320	408
SM2011_c04321	409
SM2011_c04322	409
SM2011_c04324	410
SM2011_c04338	410
SM2011_c04341	410
SM2011_c04346	411
SM2011_c04348	411
SM2011_c04350	412
SM2011_c04351	412
SM2011_c04361	413
SM2011_c04362	413
SM2011_c04363	414
SM2011_c04452	414
SM2011_c01410	415
SM2011_c01489	415
SM2011_c01411	416
SM2011_c01412	416
SM2011_c01413	416
SM2011_c01490	416
SM2011_c01491	416
SM2011_c01418	417
SM2011_c01419	417
SM2011_c01420	417
SM2011_c01421	417
SM2011_c01422	418
SM2011_c01423	418
SM2011_c01424	418
SM2011_c01430	419
SM2011_c01431	419
SM2011_c01433	420
SM2011_c01434	420
SM2011_c01437	421
SM2011_c01494	421
SM2011_c01440	422
SM2011_c01441	422
SM2011_c01442	423
SM2011_c01443	423
SM2011_c01444	423
SM2011_c01445	424
SM2011_c01446	424
SM2011_c01447	424
SM2011_c01450	425
SM2011_c01451	425
SM2011_c01452	425
SM2011_c01457	426
SM2011_c01458	426
SM2011_c01459	427
SM2011_c01460	427
SM2011_c01462	428
SM2011_c01463	428
SM2011_c01468	429
SM2011_c01469	429
SM2011_c01882	430
SM2011_c01883	430
SM2011_c01880	431
SM2011_c01881	431
SM2011_c01876	432
SM2011_c01877	432
SM2011_c01878	432
SM2011_c01871	433
SM2011_c01872	433
SM2011_c01873	433
SM2011_c01874	433
SM2011_c01863	434
SM2011_c01864	434
SM2011_c01865	434
SM2011_c01866	434
SM2011_c01867	434
SM2011_c01868	434
SM2011_c01861	435
SM2011_c01862	435
SM2011_c01857	436
SM2011_c01858	436
SM2011_c01859	436
SM2011_c01860	436
SM2011_c01853	437
SM2011_c01854	437
SM2011_c01847	438
SM2011_c01848	438
SM2011_c01842	439
SM2011_c01843	439
SM2011_c02817	440
SM2011_c02818	440
SM2011_c04455	440
SM2011_c01573	441
SM2011_c01574	441
SM2011_c01582	442
SM2011_c01588	442
SM2011_c01594	443
SM2011_c01597	443
SM2011_c01606	444
SM2011_c01607	444
SM2011_c01608	444
SM2011_c01023	445
SM2011_c01613	445
SM2011_c01615	445
SM2011_c01616	445
SM2011_c01617	445
SM2011_c01618	445
SM2011_c01619	445
SM2011_c01620	445
SM2011_c01621	445
SM2011_c01622	445
SM2011_c01623	445
SM2011_c01624	445
SM2011_c01625	445
SM2011_c01626	445
SM2011_c01627	445
SM2011_c01631	446
SM2011_c01632	446
SM2011_c01633	447
SM2011_c01634	447
SM2011_c01635	447
SM2011_c01640	448
SM2011_c01641	448
SM2011_c01642	449
SM2011_c01643	449
